comment,labels
Bộ 8 cuốn có truyện hay truyện dở như truyện nhổ củ cải câu văn dài lủng củng cốt truyện ko có gì hay tóm lại  là cả nhà o già bà già cháu gái rồi chuột mèo chó cùng nhau hợp sức nhổ củ cải . Hết.,0.0
Sách hay nhưng Tiki tự huỷ đơn không báo.,1.0
Nhầm hàng ạ,0.0
"Hình quá nhỏ, chữ anh và việt quá rối",0.0
 thôi như vậy tính ra đắt lắm. Review mà làm cho người mua sau bị lầm lẫn thì thật là khó chịu.,0.0
"mình mua 2 combo trc đây gần 1 tháng, một combo ok còn 1 còn lại bị lỗi hết gần mười mấy bìa",1.0
 sản phản bán ra rất xấu và cẩu thả.,0.0
"Sách không được hay, ko ấn tượng.Sách mới và đóng gói cẩn thận",1.0
"Truyện đẹp, in màu lên giấy tạm ổn, nội dung thì hơi rời rạc k đc ổn cho lắm.",1.0
Không đáng để mua lắm ,0.0
sách đẹp đến nhanh ,2.0
Tiki giao hàng đúng hẹn. Có điều bìa truyện bị nhăn mất rồi.,1.0
"Hơi bé đối với vài quyển của mình,mong shop mau có size to hơn.",0.0
sách đẹp.,2.0
 bị thiếu sách. Chưa hài lòng,0.0
Giao hàng nhanh nhưng truyện có trang bị rách và nhăn,1.0
Đóng gói ổn nhưng sách cong mép,1.0
 Lỗi in,0.0
 giao sai yêu cầu,0.0
 Không hấp dẫn,0.0
"Phải đợi chờ để có thể nhận đủ sản phẩm muốn mua.
Ảnh bìa hơi cũ bạn ạ !
",0.0
"bình thường, không có gì đặc biệt.",1.0
"nội dung khá dễ thương , thú vị nhưng sách bẩn dã man , ",1.0
" Sách rất bẩn cọ mãi mới sạch, đề nghị người bán lần sau giữ sách cẩn thận hơn.",0.0
"Hài lòng về nội dung, tuy nhiên lúc nhận sách bị nhăn nheo, giống như sách cũ vạy đó. Hơi buồn.",1.0
đề nghị shop đổi lại Giao sách bị trùng,0.0
"Truyện thì ok nhưng giấy hơi kém, đóng quyển kiểu gì mở ra là bị bung giấy.",1.0
"Nội dung ok, nhưng chất lượng giấy chưa tốt, bé xem vài lần là đã bị sứt ra rồi.",1.0
"giao hàng ok, hơi lâu, truyện vẫn còn bị lỗi.......",1.0
"
nếu là in bị sai thì có đổi lại được không? Sách đọc từ phải qua trái???",0.0
. Mua về mà tiếc tiền quá.Không nên mua,0.0
" đóng gói cẩn thận, nội dung ok, tuy nhiên bên ngoài sách dơ , bụi bậm",1.0
"Những quyển truyện này có màu,hơi mỏng nhưng có những bài học quý.",1.0
vải ko đẹp cho lắm.,0.0
Mặc lên không đẹp lắm,0.0
"Sách có hướng dẫn rõ ràng về phát âm, từ vựng phong phú với nhiều chủ đề đa dạng, tiki đóng gói cẩn thận, giao hàng nhanh",2.0
"Sách thì vẫn rất ok, nhưng tờ tài khoản tiki kèm theo không thể mở khóa",1.0
Giao nhanh. Nhưng tờ giấy đăng nhập thì bên app khoá,1.0
"sách rất hay và hữu ích, nhưng app dùng lại sai. mong tiki giúp em với ạ.",1.0
 khi nhận sách tôi thất sản phẩm không như tôi kỳ vọng,0.0
 hơi bất tiện trong việc di chuyển do phải điều chỉnh bánh xe liên tục.,0.0
tiki lại chuyển quá nhanh,2.0
"Đóng gói cẩn thận
Sách in đẹp
Nhưng nội dung thì sách thì viết hơi khó hiểu",1.0
hình thức đẹp vững chắc nhưng mấy chân sắt chưa gì đã sét rỉ rồi,1.0
"tiki giao hàng nhanh, đóng gói đẹp. Sách hay nhưng mực in và giấy không được đẹp lắm.",1.0
"Sản Phẩm nhận đúng như mô tả , nguyên vẹn!
Tuy nhiên hướng dẫn sử dụng tiếng Hoa, không có tiếng Anh,",1.0
TIKI gửi hàng sai kích cỡ.,0.0
 nói chung thất vọng . không như tưởng tượng,0.0
Ngoài  lỗi này ra thì nhìn chung cũng đuoc . ,1.0
Hộp đẹp mà nhỏ hơn so với hình nhiều.,1.0
. Nhìn chung sản phẩm khá ổn ngoại trừ bìa thảm có vết ố vàng bám,1.0
Giao hàng nhanh Nội dung bên trong thì giấy cũng may còn mới và sạch sẽ. sách,2.0
Chẳng đáng bao nhiêu tiền nên cũng lười đổi trả.,0.0
"cân dễ thương, nhưng kết quả cân sai. ",1.0
Không có nội dung hay,0.0
sách nội dung tốt hay nhưng sách bị hỏng,1.0
"Sản phẩm đóng gói tốt, chất lượng trung bình, đã có vết hỏng.",1.0
"sản phẩm dùng ok, nhưng mà cũ chưa gì đã thấy hỏng",1.0
Sản phẩm mình nhận đc ko giống  trong hình. Chất lượng cũng đc nhưng ko thích lắm.,1.0
"K giống hình cho lắm, chất lượng trung bình, khá nặng.",1.0
shop nên kiểm tra hàng trước khi giao. Sản phẩm sáng ổn.,1.0
Tôi đã nhận 2 đèn và hiện hoạt động tốt,2.0
sản phẩm không giống trong hình ,0.0
"Sản phẩn đèn ok , không hài lòng lắm vì k giống như miêu tả.",1.0
" hàng đẹp, chất lượng tốt, chỉ có điều là bên mình trong lúc giao hàng đã giao thiếu cho mình ",1.0
"giao hàng nhanh, tốt ",2.0
"Sản phẩm chất lượng, đóng gói đẹp.",2.0
"Giao hàng sớm hơn dự kiến, nhưng sản phẩm bị hư  1 tí",1.0
sản phẩm bị hỏng,0.0
"Hộp đẹp, rẻ vì được khuyến mãi.",2.0
"
nhìn chung ổn.",1.0
sản phẩm dùng tạm ổn,1.0
cũng được,1.0
 sản phẩm nhận bị giao thiếu,0.0
không thích sách này. sách khó học lắm không thích hợp cho những người tự học tại nhà không thích sách này,0.0
Xin vui lòng đỗi hộ mình cái đĩa. ,0.0
"giao hàng nhanh , nhân viên thân thiện, sách màu đẹp, chỉ có góc sách hơn bị uốn nên nhìn hơi ko thích",1.0
Nhờ tiki kiểm tra giùm mình. Sản phẩm thiếu tính năng,0.0
"Giao sai sản phẩm, không giống với ảnh mẫu. Thật thất vọng.",0.0
Thảm giao đúng kính thước nhưng màu hơi bẩn,1.0
" lần thứ 2 này mua lại thì thấy chất lượng túi giảm hẳn, ",0.0
" Sản phẩm OK, đúng theo mô tả về kích thước và màu sắc lúc đặt hàng. ",2.0
"sản phẩm khá chắc chắn , nhưng vẫn bị lỗi nhỏ",1.0
dây bị đứt,0.0
"sản phẩm không như mình nghĩ, chỉ được mỗi cái giao hàng nhanh.",1.0
"Sảm phẩm ok, tuy nhiên shop soạn hàng ko hài lòng cho lắm.",1.0
 giao màu ngẫu nhiên là giao màu thấy gớm.,0.0
"Nhựa không đẹp lắm, khớp xoay hơi lỏng nhưng vẫn xài được. ",1.0
đẹp. miếng dán chính thì chắc chắn.,1.0
 thấy chắc chắn.,2.0
"sách ok, mỗi tội hơi cũ , bìa bị nát.",1.0
Sản phẩm không đủ an toàn,0.0
Tiki quảng cáo bán hang xuất xứ Đài Loan nhưng giao hàng VN/ Trung Quốc.,0.0
"Túi mỏng, nhanh rách. ",0.0
"Sản phẩm hơi mỏng, chất lượng ko dc tốt, thô.",0.0
Chưa hướng dẫn kỹ cách đọc và đánh vần.,0.0
"Balô khá nhỏ, chất vải khá xấu",0.0
"Sản phẩm nhìn chung ổn, vừa đủ xài",1.0
thấy hộp hơi mỏng.,0.0
chất giấy in tệ quá.,0.0
"sách thì Ok Không có gì để bàn. chất lượng sách thì rất tốt.
",2.0
"Ship chậm, chờ sách mòn mỏi.",0.0
Sổ tay nhìn xinh nhưng chất liệu giấy với sổ hơi mỏng. Nếu thêm trang nữa thì ok.,1.0
" Mọi thứ đều ok, Nhưng pin đã bị chảy nước.",1.0
Shop xem lại đừng gửi hàng hỏng cho khách.,0.0
"sách giải k chi tiết lắm  nên mua khi có người hướng dẫn học, tự học thì k ổn.",0.0
E thấy có 1 số cái hơi kì kì.,0.0
Giao hàng lâu hơn dự kiến nhưng ko báo trước,0.0
"Sản phẩm tạm được ,chất lượng phù hợp với giá tiền chỉ tiếc là bị hỏng 1 ít",1.0
có một lỗ thủng nhỏ. Còn lại thì mình thấy cũng ok :).,1.0
Đặt có BookCare nhưng Tiki giao ko có BookCare.,0.0
sử dụng được 2 tháng thì lò xo bị đứt ,0.0
sản phẩm giao hàng chậm ,0.0
Tủ đẹp chắc chắn nhưng có 1 cái sai kích thước,1.0
"Chắc chắn, mùi nilon hơi nồng",1.0
"Cục mốt có mùi hôi khó chịu, mình thấy chất lượng không tốt",0.0
sản phẩm bị thiếu linh kiện,0.0
"Nền gạch thì mới dính được, sàn gỗ thì hoàn toàn không dùng được nha mn.",0.0
"đế yếu, không hút vào nền nhà
thậm chí còn oxi hóa, như đã để lâu.",0.0
" mới sử dụng 3h thôi mà đã bị hỏng
:((.",0.0
Quạt tản nhiệt quá kém.,0.0
"Sản phẩm đặt mua rất tốt, vải tốt, chắc chắn.
Nhưng mình rất không hài lòng về cách đóng gói sản phẩm. ",1.0
sản phẩm mẫu mà đẹp. nhưng vải mỏng và mũi may rất thưa. so với tầm giá thì đắt.,1.0
Bàn chất lượng trung bình,1.0
miếng lót chân đế là miếng xốp ko giống trong hình.,0.0
"Chân bàn nhìn hơi xấu, miếng lót chống trượt sơ xài.",0.0
"Sản phẩm chắc chắn, đẹp. Rất giống hình.",2.0
Sản phẩm đẹp nhưng thiết kế chân bàn hơi lõng lẽo và k chắc chắn so vs mặt bàn.,1.0
"sản phẩm không như quảng cáo, giá rẻ nên cũng chấp nhận được.",1.0
"Sản phẩm phù hợp, đúng theo mô tả.",2.0
Máy độ nhạy chậm. Tốt hơn máy trước mình mua ở chỗ Spo2 tụt dưới 94 sẽ có báo động.,1.0
"sản phẩm yếu quá, không chắc tay.",0.0
sách bị hỏng và mép mó,0.0
bìa sách bị nhăn =nhưng giao hàng nhanh.,1.0
màu sắc mẫu mã đẹp nhưng bị hỏng 1 số chức năng,1.0
"Đồ chơi mua về hỏng hộp nhạc lắp pin k đc, đc vài ngày thì cái xoáy ốc của nó bị chờn ốc ra và k dùng đc nua lunn.",0.0
"Sản phẩm nhỏ nhắn dễ thương. 
Bộ chén khá nhẹ và mỏng.
.",1.0
"Về mẫu mã, màu sắc , chất liệu đều ok .
Chỉ mỗi cái chén màu xanh nhỏ quá. ĐƯỢC",1.0
"mọi thứ đều ok,nhưng giao hàng bị sai màu",1.0
"mẫu như hình chất liệu đẹp, nhưng nón hỏng",1.0
Sản phẩm nhận đuợc không giống nhau về cái kính.  Nhờ hỗ trợ đổi lại cho giống nhau với ạ. ,0.0
"Giao hàng đúng hẹn, sản phẩm giống như hình, chất lượng ổn. Tuy nhiên khi mở hàng thì phát hiện bị xước",1.0
"Mũ đẹp,  đáng mua. 
Nhưng em đặt màu đen lại giao màu xanh??? Bây giờ muốn đổi lại thì ntn ạ?.",1.0
Chốt gài khoá móc ko an toàn.,0.0
"Có gửi lộn size cho mình ko vậy, sao mà size L có tí xíu đội đâu có vừa đâu tiki
",0.0
"Điều hơi bị sốc vừa đặt hàng mua 299, đã thấy giảm giá còn 178 nên thấy buồn quá thôi Tiki và shop ạ, mình ủng hộ Tiki nhiều mà chẳng thấy ưu đãi gì hết.",0.0
"Lúc mới mua đeo ko bị tụ hơi nước đã j đâu, được 2 tuần ko hiểu sao giữ rất kĩ, ko chạm tay vào mặt trong mà tự dưng hôm qua nó tụ hơi nước làm ko còn thấy đc rõ nữa, chán hẳn.",0.0
Màu không giống trong ảnh lắm.,0.0
"nón nhìn đẹp, nhẹ, phù hợp để đi gần nhà
tuy nhiên, kính hỏng",1.0
đã nhận hàng r mà sản phẩm sao ko giống mẫu lắm nhỉ?.,0.0
Giá quá cao so với mặt bằng chung,0.0
"Mũ khá nặng, hai bên ép chặt bên thái dương hơi mỏi, sơn xịt thì tè le, keo còn dính bên thành xốp.",0.0
"Sản phẩm ưng, nhưng giao hàng chậm mất 4 ngày.",1.0
" Mũ quá nhỏ , không đeo vừa",0.0
Sản phẩm này rất đẹp em rất thích 😊.,2.0
giao hàng nhanh hơn dự kiến. gói hàng cẩn thận nhưng không hiểu sao mũ vẫn bị sước,1.0
mũ giao bị méo ,0.0
"Nón đẹp lắm,  nhưng giao hàng khác màu. Em chọn màu xanh lại giao màu hồng.",1.0
nón thì xài ok kính nón nhìn bị loá mắt.,1.0
"Chất lượng vừa phải, đội cảm giác không được chắc chắn.",1.0
"giao hàng rất nhanh. nhưng mũ bẩn,",1.0
Mũ ok nhưng bị tút mất cái ốc rồi,1.0
hàng ko như mong đợi trầy và bể nữa ,0.0
nón bị sai hình nhưng chất liệu tốt,1.0
"Mình muốn đổi size nón bảo hiểm được không, mũ bị trật",0.0
"Mũ đẹp, kính trong nhưng lại hơi chật so với đầu tôi do không được thử trước.",1.0
Giá cả phù hợp với chất lượng sản phẩm. Tiki giao hàng nhanh.,2.0
chất lượng  cũng tạm.. Nhưng giao hàng bị sai,1.0
Mình đặt màu Hồng nhưng lại giao màu đen là sao. ,0.0
" màu đẹp lắm nhưng trầy xước hơi nhiều, mình phải sơn lại.",1.0
"Độ chi tiết không cao, Nhưng với giá như vầy là hợp lý. Chấp nhận được",1.0
Phần keo dán chắn gió tại kính dán chưa chính xác,0.0
Hình không sắc nét.,0.0
Bình thường. giao tem ngẫu nhiên nên có rất nhiều tem không đẹp.,1.0
Câu chữ hơi bậy. Mua về mà chưa dám dùng.,0.0
"Mũ nhẹ, gọn, phần lót đầu hay bị kẹt tóc rất khó chịu.",1.0
" tiki đóng sách ko cẩn thận như những lần trước. 
Sách bị hỏng 
Mong tiki chú ý hơn với đang tiếp theo nha.",0.0
sản phẩm này đc nhé.,2.0
sản phẩm hơi xấu mũ đội trật quá ,0.0
"ốc vặn dễ bị long ra, mũ đội êm, cứng cáp.",1.0
mũ bị rớt một con ốc chỗ cài lưỡi trai còn lại ok. .,1.0
"Mũ size nhỏ quá, Shop hỗ trợ cho mình đổi nha.",0.0
"màu sản phẩm không giống như hình, nón mới mà có vết trầy nữa. ",0.0
đóng gói vận chuyển đều ok.  mũ nhẹ. đẹp.chỉ có mũ là không phải hàng thật. ,1.0
Túi cao cấp nhưng chất lượng không tốt lắm. Giao hàng nhanh.,1.0
Phí ship cao.,0.0
Nhầm màu.,0.0
"Hàng mới về,nón bị mẻ và gãy phần xốp bên trong, do đó mình cũng hơi quan ngại chất lượng sp",1.0
Nón size XL nhưng khá nhỏ so với bản thân mình. Tuy nhiên đóng gói vs giao hàng nhanh chuẩn Tiki.,1.0
chất lượng ổn. phù hợp giá tiền. ,2.0
"bình thường , không xuất sắc lắm",1.0
 Nón mới nhưng có dấu trầy xước,0.0
"Mình order size M, sao mũ gửi về lại là cỡ lớn?
Vậy mình làm thế nào để đổi lại",0.0
".chất lượng thì thấy ok,nhưng tiki kiểm tra lại màu sắc là được.",1.0
chất liệu  so với tầm giá thì ok. chỉ có 1 size nên so với mình hơi rộng.kiểu dáng đẹp,2.0
Mua màu vàng lại giao màu cam hơi tiếc.,0.0
"mũ nhẹ, nhưng bị lỗi phần giữa kính chắn và phần chính của mũ. nói chung, phù hợp với giá tiền.",1.0
giờ làm thế nào để đổi lại vậy gửi sai hàng,0.0
Chất liệu mỏng.,0.0
Màu đẹp.,2.0
"sản phẩm đẹp,nhưng phù hợp với nam giới hơn ",1.0
"mũ thô, ko chắc chắn",0.0
giá cao so với chất lượng!.,0.0
mũ bị xước và lớp vải bên trong bj tụt xuống.,0.0
"Sản phẩm dễ dùng, giá rẻ nên chất lượng trung bình. Phần dính với mũ không được chặt lắm nên dễ rơi ra khỏi mũ.",1.0
"Dùng tạm được. Hơi đắt so với chất lượng, không thấy hơn loại 10k/cái mà đắt gần gấp đôi.",1.0
hàng không được đẹp.,0.0
"
sản phẩm cũng đẹp, nguyên vẹn đổi trả sản phẩm tiki trả lời chậm",1.0
Sản phẩm mình nhận được chất lượng OK nhưng không đúng size mình đã đặ hàng,1.0
Nam châm yếu quá. Nếu là hai miếng dính thì hay hơn.,0.0
"Hình na ná nhau nhiều, ko đa dạng.",0.0
"hàng thì chất lượng,đúng hàng thật, mà tiếc tui đội hông vừa",1.0
" Nhờ shop xem giúp nếu có thể đổi lại đúng mẫu đã đăng tải, mình cám ơn ạ.",0.0
"giá hợp lý
màu sắc trang nhã
",2.0
Mũ đẹp,2.0
"Phần lưỡi trai không cứng lắm, một lần mũ bị ép phần cạnh lưỡi trai và giờ phần lưỡi trai bị méo cạnh không về được hình dạng ban đầu.",0.0
hình thức kiểu dáng đẹp nhưng  vì mũ không có size để chọn,1.0
hàng chất lượng đc nhưng không như trong hình,1.0
"Giao hàng nhanh , hàng mới tem đấy đủ Đóng gói cẩn thận",2.0
"mũ ok, mua cái thứ nhất chuẩn hàng, nhưng mua cái thứ 2 shop giao ko đúng hàng",1.0
xong tam chấp nhận.,1.0
" bên trong bị trầy một chút,đóng gói cẩu thả nhé",1.0
"
1. Khi đội mũ thì khó đeo khẩu trang vào mùa đông
2.Mũ mới được sử dụng được hơn 2 tuần đã bị tung mất lẫy ở cằm.
nhưng
kính rất trong nhìn rất rõ, màu đen khá đẹp mắt, ",1.0
"nó bị trầy xước thế này nhìn cực kì bực mình 
Mũ khá ok, chất lượng thì đánh giá là tốt như miêu tả, ",1.0
"Mũ đẹp, giao nhanh, nhưng không hiểu sao bị trầy xước.",1.0
Kích thước lớn hơn nhiều so với thẻ bảo hiểm không thể bỏ vào ví ,0.0
"Bình thường , sản phẩm này không xuất sắc lắm",1.0
"Áo vừa với tầm giá,hơi mỏng,màu k giống hình,kiểu dáng ổn.",1.0
Vải coi bộ mặc nóng,0.0
Shop giao sai size áo,0.0
"Màu áo không như hình,chất liệu vải tệ. Thất vọng về sản phẩm.",0.0
"vải hơi mỏng, họa tiết ko giống trên hình.",0.0
"chất vải nỉ dày , mặ̣c không đc rộng rãi , nói chung là tạm ổn bình thường",1.0
"vải mỏng hơn mình nghĩ, với cổ áo hơi nhỏ.",0.0
áo mặc khi mua về bên trong bị đỗ lông giặt vài lần vẫn còn bị.,0.0
áo rất đẹp giống như trong hình nhưng áo đỗ lông rất nhiều.,1.0
 vải cũng tạm đc tại vì áo hơi mỏng so với dự định Tạm ổn,1.0
"Áo mỏng, đường may không đẹp . Mong TIKI  rút kinh nghiệm. Tạm được",1.0
"Hàng cũng dc , cũng đẹp .Nhưng dính hơi nhiều bụi . Nói chung là ổn.",1.0
"Vải dạng nỉ mặc rất nóng 
Với giá này thì ok thôi.",1.0
"Chất luượng vải rất tệ , shop còn giao nhầm size",0.0
"chất liệu vải tốt, giao hàng nhanh, nhưng áo chỉ có một size thôi nên mình mặc không vừa",1.0
"Áo cũng tạm được, y như mô tả. Vải khá dày, thành ra sẽ bị nóng. cũng được",1.0
"chất liệu bình thường .
tiki giao hàng nhanh.",1.0
 tin tưởng tiki nên ko xem hàng trước mà cái này chắc bigsize lun rồi chứ mình 55kg mà rộng thùng thình lun giao sai mẫu,0.0
"Mới  nhận  áo  hôm  nay, Chất  liệu  chấp  nhận  dc, nhưng  ko có  mác,",1.0
"Không hài lòng
Một bên tay áo bị mất tai, sản phẩm không đảm bảo chất lượng.",0.0
"áo nhỏ, màu ko đen lắm giống màu xanh dương hơn, mặc hơi chật.",0.0
"đóng gói cẩn thận, giao hàng nhanh, tuy nhiên cũng mặc được ",1.0
"Áo mỏng quá, chất không đẹp, mùi thì hơi hôi",0.0
giao hàng nhanh . Nhưng màu áo và dây áo không đúng.,1.0
size hơi rộng so vs mình ...,0.0
"Chất vải kém lắm ạ, nói chung mua cho con mặc cố nốt 1 mùa thôi. Tiki giao hàng nhanh và nhiệt tình ",1.0
". Chỉ là rất không hài lòng về cái màu áo, kiểu treo đầu dê bán thịt chó ấy. 
Dịch vụ giao hàng bên Tiki thì nhanh, ",1.0
sản phẩm bị lỗi. trong hình rõ ràng mặt trong cái mũ là màu vàng còn cái của tui thì màu đen :((.,0.0
Sản phẩm rất tốt nhưng có chút dính bẩn ở phần cánh tay.,1.0
áo mỏng!! có những đốm đen trên áo..nhưng cũng dc.,1.0
size XL gì mà bé tẹo. áo thì ok mỗi tội mặc ko vừa.áo bé,1.0
"Vải nhẹ nhưng ko đẹp như trong hình.Màu thì ok, giao hàng lâu.",1.0
"hơi thất vọng, vải không đẹp lắm",0.0
"Màu sắc ok, vải hơi mỏng và side ko đc to như trong hình.",1.0
"áo khá là nhỏ ,hơi mỏng ạ.",0.0
mua 4 cái 4 màu mà giao có 3 màu 2 cái  xanh rất  mỏng.,0.0
"shop giao nhầm hàng mình rồi, mong shop xem lại",0.0
"Không được dài ,vải tốt :).",1.0
vải không được mịn lắm.,0.0
áo tốt đẹp ok hàg ổn nhưg shipper giao lâu.,1.0
Hàng in hơi lỗi bị lệch qua bên trái khá nhiều mặc một hồi sau đột nhiên bị ngứa  do vải của áo,0.0
áo tốt nhưng không phải hàng real.,1.0
mua size L mà lại gửi size M :(.,0.0
vải khá mỏng.,0.0
" shiper nhiệt tình vải kém, chất liệu không như quảng cáo !!!.",1.0
"Áo quá mỏng, hơi thất vọng một xíu. Mua hàng tiki chất lượng ngày càng giảm và tỉ lệ thuận theo số lần mua. Không ổn",0.0
"Shop ơi, mình đặt màu đỏ đô mà, bên bạn giao nhầm màu đỏ tươi cho mình rồi.
",0.0
Ổnn.,1.0
áo tui đặt đã bị rách ngay nách . tôi phải tự may lại áo rách,0.0
Vải cứng và mặc cực kì nóng So với giá giảm vậy thì thấy ko hợp lý lắm,0.0
"Áo vải cotton khá đẹp, có Giao hàng nhanh t2 đặt là t4 có, vì đặt XL nên form rộng rãi. Nhưng có điểm rất không hài lòng là về phần rìa áo lại khác màu so với phần trên áo. ",1.0
tiki cho đổi lại hàng nhé mình đặt hàng màu vàng bò mà giao màu vàng chanh nhầm hàng rồi,0.0
Cho 3 sao vì ko giống hình ảnh và nhỏ hơn hình ảnh.,0.0
 Size áo không đúng như mô tả bán hàng,0.0
"Thiết kế chưa thật bắt mắt,vải áo theo đánh giá của mình là vừa giá tiền",1.0
"Form ok nhưng vải ko đẹp, vải này mặc rất nóng, giá cao so với chất lượng Vải ko đẹp",1.0
"Đúng size áo và màu, chất lượng vải rất mỏng, kiểu có thể nhìn xuyên qua được nhưng lại có lót bông bên trong vậy.",1.0
"Vải mặc rất nóng, phù hợp với giá tiền, kiểu dễ thương ",1.0
áo thấy được mà rộng quá ko mặc được,1.0
"Sản phẩm  được, nhưng màu trắng hai bên cánh tay hơi bị ngả về màu vàng một xíu.",1.0
"hình in bị lệch, đường chỉ sơ sài, màu đen của áo hơi bị phai màu, nhưng khá OK, giao hàng đúng ngày, đóng gói cẩn thận khá ok",1.0
 ảnh khác áo khác nhưng may mà nó còn ra ít hình thù,1.0
Chỉ vừa đủ ổn thôi chứ không đủ rộng như trong hình.,1.0
"trông ko đc mới cho lắm, mặc ấm, ",1.0
tiki giao thiếu đồ của mình :(,0.0
vải mỏng wa trời luôn ó!!!! chỉ thích mỗi anh shipper nhiệt tình.,1.0
vải mỏng k mịn.nhung giá đó cũng hợp lý. nv giao hàng rất nhiệt tình.,1.0
"mình mua áo đen sao gửi màu sữa..
vải áo mỏng",0.0
"nói chung là tạm ổn phản quang rất đẹp nha 
thích thì thích thật nhưng hơi buồn về chất liệu áo mong shop khác phục sự cố này nha chất liệu ko đc tốt cho lắm, nó lại ko thấm mồ hôi",1.0
A.,2.0
"áo đẹp, mặc vào mùa lạnh thì được vì áo hơi nóng",1.0
"Giao hàng đúng thời hạn, sản phẩm bao bọc cẩn thận.",2.0
giống áo nữ quá.,0.0
"
cần khắc phục lỗi này ngay không để trường hợp xảy ra nữa ",0.0
"áo khá đẹp mà trong hình dây thắt màu đỏ ở ngoài màu trắng,nói chung thì khá ổn.",1.0
"Chất áo mịn mềm, tuy nhiên chỉ dành cho các bạn dưới 48 kg thì mặc đep Áo min, nhưng chỉ dành cho các bạn dưới 48 kg thì mặc đẹp",1.0
Size M rất rộng. Bạn nào mua cân nhắc nhé.,0.0
áo hơi rộng.,0.0
"áo form dep, vừa vặn. Nhung giặt xong bị hỏng",1.0
"Len móc thưa, không dày như hình, ko đứng form, len mềm.. Không dày như hình",0.0
"Chất liệu vải thì Ok. 
Còn giao hàng ko đúng size, mình muốn đổi lại cho đúng size.
2 áo đều size L, mà cái bự cái nhỏ
Cái màu cam size L mặc vừa, còn màu đen size mặc rộng thùng thình như áo bà ngoại.",2.0
"đúng như hình mẫu, nhưng mình đặt sze m lại chuyển cho mình size l.",1.0
Túi quá mỏng.,0.0
Mặc lần đầu tiên đã bung 2 đường len. Không biết sau này sao nữa,0.0
"đặt hàng màu đỏ giao màu cam, nhưng thôi với giá tiền thì chất lượng vậy cũng ổn.",1.0
"Chất liệu len khá nóng
Màu sắc và kiểu dáng ko đẹp như hình
Giá mắc hơn so với chất lượng.",0.0
Mặc hơi ngứa do vải ko mịn.,0.0
"Gói hàng kĩ bảo đảm, giao hàng nhanh. Sản phẩm đẹp nhưng cũng chưa được như miêu tả trên tiki.",1.0
"Mặc ấm, vải hơi ngứa khó chịu.",1.0
Chất liệu rất OK nhưng màu sắc ko đc giống hình mình đặt ,1.0
"đặt lần 1 áo rất đẹp ưng ý, đặt tiếp 2 cái nữa nhưng không đúng kiểu.",1.0
"Nói chung nhìn bình thường, chỗ 2 vai hơi mỏng với tưa chỉ, nếu mặc chung nguyên set thì ko sao chứ bận đầm ko thì nhìn hơi thô nha bà con.",1.0
áo hơi mỏng.,0.0
sản phẩm không được như mình mong đợi.giặt 1 lần đã giãn ra.,0.0
Áo nặng nề! Rộng và vải k tốt.,0.0
"MÌnh đặt mua áo màu hồng, trong hình là màu hồng nhạt và sáng, mà shop giao cho mình màu hồng sẫm, pha xám, không đẹp như trong hình. ",0.0
"Tạm ổn, phù hợp với giá tiền. Áo giống như mô tả",2.0
"Quá nhỏ!! Nói 56kg mặc được, Nhưng thực ra chỉ cỡ 46kg mới mặc được!!! Đem cho rồi!.",0.0
"Chọn size lớn nhất mà vẫn mặc vẫn hơi chật dù có 60 kí, nhất là tay áo nhỏ quá mặc không thoải mái lắm.",0.0
"Tạm ổn, tạm ổn, tạm ổn, tạm ổn.!.",1.0
"Vải dày, áo giống hình. Nói chung là không mặc được. Mong được đổi hoặc trả lại. Cảm ơn.",1.0
"Chất liệu, kiểu dáng ok, màu sắc ghi là đen nhưng thực tế là xám lông chuột, đặt hàng size 3XL thì giao 2XL",1.0
rất ok .nhưng vải hơi mỏng.,1.0
"Áo màu sẫm,size từ 48-65kg nhưng 62kg xỏ tay k lọt vì quá nhỏ,ai từ 62kg trở lên nên lưu ý!.",0.0
"vải mát, mềm, mịn, đẹp mỗi tội shop giao nhầm màu mình chọn màu nâu nhạt mà lại gửi nâu be, không ưng lắm.",1.0
Mình chọn màu nâu đậm mà lại giao nâu be là sao vậy? Giao hàng sai!,0.0
"áo chất đẹp, nhưng ai đậm người sẽ ko mặc dc vì hơi bé.",1.0
shop giao hàng ko đúng màu,0.0
là áo sợi pha len nên co giãn kém. sau khi giặt thì bị co nhiều  thì sau khi giặt sẽ bị chật và ngắn là áo sợi pha len,0.0
hàng ko giống lắm với hình miêu tả.,0.0
"chất liệu dễ giãn, màu hơi tối so với hình, form không được đẹp.",0.0
đã gửi sai size áo của tôi giờ làm  sao? Sản phẩm tốt nhưng.,1.0
"áo như hình, chất liệu ổn.",2.0
"Vải mỏng đến mức cảm thấy nếu đi k cẩn thận rất dễ rách. Được mỗi giao hàng nhanh, đặt 1 hôm là có ",1.0
"  túi đựng khá là mỏng,  bị rách là chuyện..  ",0.0
"
- Mùi lạ.Ăn đắng đắng kho chịu",0.0
"bình thường ,không phải hạt bí  xanh.",1.0
Mình mới bóc mác tất ra thì ngay đôi đầu tiên đã rách như hình.,0.0
 Khâu đóng gói và vận chuyển chất lượng quá kém,0.0
" Tiki giao siêu nhanh. mình đặt hôm qua hôm nay đã tới nơi r. 
điểm trừ là sách bị hư khá nhiều",1.0
